date,calories,steps,dist,floors,elevation,sedant,active_light,active_fair,active_very,active_cals,sleep_start,sleep_timeInBed,sleep_minutesAsleep,sleep_awakeningsCount,sleep_minutesAwake,sleep_minutesToFallAsleep,sleep_minutesAfterWakeup,sleep_efficiency
2015-04-17,2237,5493,2.33829436003904,9,90.0,701,212,2,10,906,00:16,455,395,25,54,0,0,88
2015-04-18,2062,4383,1.86582856048992,4,40.0,797,172,7,0,692,23:00,524,478,24,38,8,0,93
2015-04-19,1632,1089,0.46359261892736,1,10.0,981,50,0,0,192,00:26,366,345,12,18,0,0,95
2015-04-20,2370,7472,3.18069349874536,18,180.0,819,191,38,11,1069,23:17,424,388,19,26,7,3,94
2015-04-21,1940,3494,1.48733272630696,5,50.0,1317,123,0,0,528,,0,0,0,0,0,0,0
2015-04-22,2155,4050,1.72403786818744,5,50.0,1246,174,15,5,797,,0,0,0,0,0,0,0
2015-04-23,2665,9856,4.19544857868864,12,120.0,1136,228,54,22,1401,,0,0,0,0,0,0,0
2015-04-24,2242,5012,2.13350284257968,8,80.0,989,154,31,11,898,00:16,236,224,4,11,0,0,95
2015-04-25,1998,2639,1.12342047400024,2,20.0,949,131,24,2,604,23:41,353,326,12,19,8,0,94
2015-04-26,2213,6699,3.00781560570712,16,160.0,833,170,27,17,913,01:14,384,354,14,18,0,2,95
2015-04-27,2366,7712,3.2828593501339998,44,440.0,766,247,6,2,1067,23:51,428,389,18,35,0,1,92
2015-04-28,2144,7004,2.98151296314976,24,240.0,742,187,13,1,797,00:33,375,335,23,36,0,0,90
2015-04-29,1868,3542,1.50780069337144,11,110.0,918,100,16,3,479,23:32,399,339,16,34,0,0,91
2015-04-30,2533,6410,2.72866459770112,13,130.0,710,254,31,15,1272,23:28,406,371,18,25,0,2,94
2015-05-01,2149,4942,2.10376401733056,9,90.0,783,180,6,2,800,23:04,480,413,30,63,0,0,87
2015-05-02,2614,10125,4.4437982167072,25,250.0,713,205,48,45,1331,23:15,473,421,28,49,0,0,90
2015-05-03,2278,5535,2.35621470521632,33,330.0,707,126,52,25,934,23:59,504,451,21,51,0,0,90
2015-05-04,2234,7570,3.222431001712,27,270.0,815,225,0,0,903,23:33,416,370,18,45,0,0,89
2015-05-05,2515,9055,3.85453948790976,26,260.0,755,203,41,28,1249,23:49,367,341,12,21,0,0,94
2015-05-06,2256,7937,3.37855672741392,36,360.0,823,181,33,10,929,23:03,408,369,21,34,0,0,92
2015-05-07,2583,10182,4.33427533040528,40,400.0,766,251,36,24,1330,23:18,372,353,9,16,0,0,96
2015-05-08,2705,12833,5.46271648363688,17,170.0,728,305,19,19,1470,23:27,402,356,23,37,6,3,91
2015-05-09,1979,5168,2.19970372937536,9,90.0,1305,112,9,14,575,,0,0,0,0,0,0,0
2015-05-10,1973,4691,1.99685710374696,6,60.0,816,113,5,14,567,00:05,492,460,14,26,1,5,95
2015-05-11,2434,8745,3.7226037427124,25,250.0,746,235,26,14,1145,01:15,419,384,14,20,13,2,95
2015-05-12,2526,10285,4.5309144578256,17,170.0,655,220,32,27,1263,00:14,465,419,27,44,0,0,90
2015-05-13,2639,10835,4.67020723793624,20,200.0,662,260,30,27,1392,23:19,491,435,23,47,9,0,90
2015-05-14,2231,7323,3.11723907261832,16,160.0,705,203,6,1,885,23:49,499,448,24,46,0,1,91
2015-05-15,2382,8782,3.73831200644616,15,150.0,735,233,15,17,1081,23:23,477,428,19,46,3,0,90
